Investment ticker symbol,Investment name,Exchange,Currency,Starting investment dollar value,Ending investment dollar value,Starting share price,Ending share price,Starting shareholding,Ending shareholding,Dollar value of shares purchased (including the value of transferred shares),Dollar value of shares sold (including the value of transferred shares),Greatest number of shares held,Number of shares purchased,Number of shares sold,Number of shares gained through corporate actions,Number of shares disposed of through corporate actions,Dividends and distributions,Transaction fees,Potential additional corporate action impact,Split or consolidation share holding adjustment,NZ withholding tax (NZD),US withholding tax (USD),AU withholding tax (AUD),Foreign withholding tax (USD),Imputation credits (NZD),ADR depositary fees (USD),Is FIF,Portfolio
VTS,Vanguard US Total Market Shares Index ETF AUD,ASX,AUD,0.0000,2860.3689,397.7100,432.8500,0,6.60822209,2970.0000002739,0,6.60822209,6.60822209,0,0,0,0,15.0,False,0,0,0,0,0,0,0,True,Investments
GOOG,Alphabet Inc,NASDAQ,USD,0.0000,1819.1726,152.2600,156.2300,0,11.64419541,1989.9999995953,0,11.64419541,11.64419541,0,0,0,0,5.0,False,0,0,0,0,0,0,0,True,Investments
VGS,Vanguard MSCI Index International Shares ETF,ASX,AUD,0.0000,2397.7099,125.3000,134.3200,0,17.85072911,2469.9999994031,0,17.85072911,17.85072911,0,0,0,0,15.0,False,0,0,0,0,0,0,0,True,Investments
VOO,Vanguard 500 Index Fund;ETF,NYSE,USD,1178.5271,12909.1029,480.7000,513.9100,2.45168938,25.11938457,11991.2373832627,0,25.11938457,22.66769519,0,0,0,23.04082226,15.41132482,False,0,7.01,3.45589566,0,0,0,0,True,Investments
COST,Costco Wholesale Corp,NASDAQ,USD,797.1010,1029.0080,732.6300,945.7800,1.08799935,1.08799935,0,0,1.08799935,0,0,0,0,5.04831700,0,False,0,1.52,0.74793567,0,0,0,0,True,Investments
IFT,Infratil Ltd,NZX,NZD,2658.1302,5744.0355,10.8900,10.3800,244.08908746,553.37529075,3412.70853788,0,553.37529075,304.55516917,0,4.73103412,0,55.35128995,43.6457311,True,0,15.39,0,0,0,4.27,0,False,Investments
SONY,Sony Group Corp (ADR),NYSE,USD,0.0000,1986.4077,85.7400,25.3900,0,78.2358293,1990.01364715,0,78.2358293,78.2358293,0,0,0,0,5.0,False,0,0,0,0,0,0,0,True,Investments
QQQ,"Invesco QQQ Trust, Series 1",NASDAQ,USD,843.1960,890.5012,444.0100,468.9200,1.89904726,1.89904726,0,0,1.89904726,0,0,0,0,5.40558106,0,False,0,1.63,0.80307834,0,0,0,0,True,Investments
VOOG,Vanguard S&P 500 Growth Index Fund;ETF,NYSE,USD,0.0000,2659.9668,304.7100,334.4800,0,7.95254362,2788.4899973974,0,7.95254362,7.95254362,0,0,0,0,5.0,False,0,0,0,0,0,0,0,True,Investments
FNZ,Smart NZ Top 50 ETF,NZX,NZD,303.2279,0.0000,3.0270,2.9590,100.17439908,0,0,295.4112553854,100.17439908,0,100.17439908,0,0,3.45298850,5.61281385,False,0,0,0,0,0,1.34,0,False,Investments
VAS,Vanguard Australian Shares Index ETF,ASX,AUD,0.0000,2439.6278,98.8400,97.8600,0,24.92977528,2469.9999999104,0,24.92977528,24.92977528,0,0,0,0,15.0,False,0,0,0,0,0,0,0,True,Investments
MSFT,Microsoft Corp,NASDAQ,USD,901.4169,804.2947,420.7200,375.3900,2.14255772,2.14255772,0,0,2.14255772,0,0,0,0,6.77048240,0,False,0,2.03,1.00207548,0,0,0,0,True,Investments
MFT,Mainfreight Ltd,NZX,NZD,293.0418,259.3231,69.7000,61.6800,4.20433046,4.20433046,0,0,4.20433046,0,0,0,0,7.23144839,0,False,0,0.49,0,0,0,2.80,0,False,Investments
CNU,Chorus Ltd,NZX,NZD,440.5695,462.9131,7.6900,8.0800,57.29122771,57.29122771,0,0,57.29122771,0,0,0,0,27.21333316,0,False,0,8.97,0,0,0,0,0,False,Investments
ASML,ASML Holding NV (ADR),NASDAQ,USD,0.0000,799.7042,970.4700,662.6300,0,1.2068639,810.8399964,0,1.2068639,1.2068639,0,0,0,1.89533631,5.0,False,0,0.60,0,0,0.28430045,0,0,True,Investments
AIR,Air New Zealand Ltd,NZX,NZD,0.0000,356.5993,0.6050,0.6300,0,566.03056002,288.812561348,0,566.03056002,566.03056002,0,0,0,7.07538200,5.59371932,False,0,2.33,0,0,0,0,0,False,Investments
NWF,NZ Windfarms Ltd,NZX,NZD,389.7181,635.7103,0.1410,0.2300,2763.95798789,2763.95798789,0,0,2763.95798789,0,0,0,0,0,0,False,0,0,0,0,0,0,0,False,Investments
RKLB,Rocket Lab Corp,NASDAQ,USD,216.7091,0.0000,4.1100,17.8800,52.72727272,0,0,352.4909090416,52.72727272,0,52.72727272,0,0,0,5.0,False,0,0,0,0,0,0,0,True,Investments
